sentence1,sentence2,matching
black leather wallet with a silver zipper on the main quad near the library contains a student ID and some cash, black wallet with a zipper near the library quad has my student ID and some money,95
Picked up a blue water bottle with a white cap on the bus stop bench at 5th Street,A blue bottle with a cap was left on the 5th Street bus stop,90
Silver keychain with three keys and a small car fob found in the cafeteria,A set of keys with a car remote on a silver chain in the dining hall,92
pair of wireless earbuds in a black case near the gym entrance,black-cased wireless earphones by the gym,88
Red backpack with a laptop sleeve found in lecture hall B,red bag with my laptop in it in hall B,94
Black iPhone with a cracked screen left on the park bench,Found an iPhone with a broken screen in the park,91
Gold watch with a brown leather strap found in the parking lot,gold-colored watch with a brown band in the lot,93
Blue notebook with a spiral binding found in the study lounge,blue spiral-bound notebook in the lounge area,89
green umbrella with a wooden handle in the coffee shop,green umbrella with a wood grip at the cafe,87
Pair of black gloves found on the subway platform,black mittens on the train platform,86
silver laptop charger in the computer lab,laptop power cord in the lab,90
Black sunglasses with a hard case found near the fountain,dark shades with a case by the water fountain,92
small brown purse with a gold clasp in the restroom,brown handbag with a gold clip in the bathroom,94
White USB drive with a red cap found in the library study room,white flash drive with a red top in the library,91
gray hoodie with a logo on the front in the locker room,grey sweatshirt with a logo in the gym lockers,93
Blue credit card holder found near the ATM,blue wallet with my cards near the cash machine,88
pair of prescription glasses with a black frame in the lecture hall,black-framed glasses in the classroom,90
Silver ring with a blue stone found on the sidewalk,silver ring with a blue gem on the street,92
black baseball cap with a red logo in the park,black hat with a red emblem in the park,89
set of earphones with a tangled cord in the bus,wired earbuds on the bus,86
brown leather journal with a strap in the bookstore,brown notebook with a leather tie in the shop,91
pink phone case with glitter in the cafeteria,sparkly pink phone cover in the dining area,93
black duffel bag with a side pocket in the gym,black gym bag with a side compartment,94
yellow highlighter pen on the library table,yellow marker in the library,87
small black remote control in the lounge,remote for my TV in the common room,90
red scarf with white polka dots in the hallway,red and white dotted scarf in the corridor,92
silver necklace with a heart pendant in the classroom,heart-shaped silver necklace in class,91
green plastic lunchbox in the kitchen area,green lunch container in the break room,89
black bike lock with a combination dial in the bike rack,combination bike lock at the rack,93
white charger cable with a frayed end in the study room,white charging cord with a worn tip in the library,90
blue folder with papers inside in the office,blue binder with documents in the workplace,92
pair of brown leather shoes in the changing room,brown dress shoes in the locker room,91
small black makeup bag in the restroom,black cosmetic pouch in the bathroom,94
red key with a plastic tag in the parking lot,red key with a tag in the car park,89
gray beanie with a logo in the bus,grey knit cap with an emblem on the bus,93
black leather belt with a silver buckle in the store,black belt with a silver clasp in the shop,90
purple water bottle with a straw in the gym,purple bottle with a straw at the fitness center,92
small gold earring on the carpet in the lounge,gold stud earring in the common area,88
blue pen with a chewed cap in the classroom,blue ballpoint pen with a bitten cap in class,91
black smartwatch with a cracked face in the park,black fitness tracker with a cracked screen in the park,94
white tote bag with a floral pattern in the cafe,white bag with flowers on it in the coffee shop,93
set of house keys with a blue keychain in the library,keys with a blue chain in the study area,90
red lipstick in a gold case in the restroom,red lipstick in a gold tube in the bathroom,92
green backpack with a broken strap in the hallway,green bag with a torn strap in the corridor,91
silver USB hub in the computer lab,silver USB splitter in the tech room,89
black jacket with a hood in the auditorium,black hooded coat in the lecture hall,94
pair of blue socks in the laundry room,blue socks in the washroom,90
small brown wallet with a button clasp in the park,brown purse with a snap button in the park,93
white wireless mouse in the office,white computer mouse in the workplace,91
black umbrella with a broken rib in the subway,black umbrella with a bent spoke on the train,92
red notebook with a sticker on the cover in the lounge,red journal with a sticker in the common room,90
silver bracelet with charms in the gym,silver charm bracelet at the fitness center,94
black phone charger with a short cord in the classroom,black charging cable with a short wire in class,91
blue scarf with stripes in the cafeteria,blue striped scarf in the dining hall,93
small black flashlight in the parking lot,black torch in the car park,89
pair of white sneakers with red laces in the locker room,white trainers with red laces in the gym,92
green folder with a logo in the study room,green binder with an emblem in the library,90
black hair tie with a metal clip in the restroom,black scrunchie with a clip in the bathroom,91
silver pen with a logo in the lecture hall,silver branded pen in the classroom,94
red thermos with a black lid in the kitchen,red thermal mug in the break room,93
black laptop sleeve in the bus,seat my grey laptop cover on the bus,90
pair of black mittens in the park bench,black gloves in the park,92
blue plastic cardholder in the sidewalk,blue card case on the street,91
small brown leather keychain in the coffee shop,brown keyholder in the cafe,89
yellow raincoat with a hood in the hallway,yellow hooded raincoat in the corridor,94
silver earbud case with a carabiner in the gym,earbud case with a clip at the gym,93
Black leather wallet with no ID found near the library,Blue nylon wallet with a zipper in the library,30
blue water bottle with a park bench,red thermos in the gym,35
Silver keys with a heart charm found in the cafeteria,black backpack with textbooks in the hall,25
Found wireless earbuds in a white case in the bus,pair of wired headphones in the subway,40
red backpack in the lecture hall,black laptop in the computer lab,20
Black iPhone with a cracked screen in the library,silver Samsung phone with a clear case in the park,45
Gold watch with a metal strap found in the lot,black smartwatch with a rubber band in the gym,30
blue notebook in the lounge,green journal with a clasp in the bookstore,35
green umbrella in the cafe,black raincoat in the hallway,15
